l2	mut_new	mut_all	mut_ratio
Eraser	5.0	43	0.11627906976744186
GPCR	218.0	1758	0.12400455062571103
Hydrolase	303.0	3284	0.09226552984165652
Kinase	2415.0	11879	0.20329994107248084
Nuclear receptor	42.0	366	0.11475409836065574
Other	146.0	2233	0.06538289296909987
Oxidoreductase	794.0	3111	0.25522340083574413
Phosphatase	20.0	67	0.29850746268656714
Phosphodiesterase	16.0	53	0.3018867924528302
Protease	50.0	909	0.05500550055005501
Reader	10.0	817	0.012239902080783354
Transferase	26.0	417	0.06235011990407674
Cytochrome P450		4	0.0
Electrochemical transporter		163	0.0
Ligand-gated ion channel		73	0.0
Lyase		48	0.0
Voltage-gated ion channel		34	0.0
