l5	activity_mut	activity_all	mut_ratio
Tyrosine protein kinase Abl family	1149	5079	0.2262256349675133
Tyrosine protein kinase Axl family	1	890	0.0011235955056179776
Tyrosine protein kinase DDR family	26	284	0.09154929577464789
Tyrosine protein kinase EGFR family	2622	16066	0.1632017926055023
Tyrosine protein kinase Eph family	3	106	0.02830188679245283
Tyrosine protein kinase FGFR family	177	7748	0.02284460505937016
Tyrosine protein kinase Fak family	25	1620	0.015432098765432098
Tyrosine protein kinase JakB family	131	5989	0.021873434630155286
Tyrosine protein kinase Met family	129	4992	0.025841346153846152
Tyrosine protein kinase PDGFR family	1133	8186	0.13840703640361593
Tyrosine protein kinase Ret family	281	2123	0.13235986811116346
Tyrosine protein kinase Sev family	10	340	0.029411764705882353
Tyrosine protein kinase Src family	77	6097	0.012629161882893225
Tyrosine protein kinase Tec family	32	3958	0.00808489135927236
Tyrosine protein kinase Tie family	2	838	0.002386634844868735
Tyrosine protein kinase Trk family	12	3036	0.003952569169960474
Tyrosine protein kinase VEGFR family	115	8743	0.013153379846734531
